state,abbr,foreignborn,hsdegree,currentSmoker
Alabama,AL,12.2,23.5,21.1
Alaska,AK,11.6,28,19.9
Arizona,AZ,13.5,27.6,16.5
Arkansas,AR,14.7,21.4,24.7
California,CA,9.5,31.7,12.9
Colorado,CO,11.8,38.3,15.7
Connecticut,CT,12.5,38,15.4
Delaware,DE,7.2,30.6,19.9
District of Columbia,DC,8.3,55,16.4
Florida,FL,9.5,27.3,17.7
Georgia,GA,6.7,29.1,17.4
Hawaii,HI,7.7,31,14.1
Idaho,ID,7.9,25,15.9
Illinois,IL,10.5,32.8,16.5
Indiana,IN,13.4,24.7,22.9
Iowa,IA,12.8,27.7,18.5
Kansas,KS,12.2,31.5,18.1
Kentucky,KY,11.3,22.2,26.2
Louisiana,LA,11.6,22.9,24
Maine,ME,9.9,29.4,19.3
Maryland,MD,7.5,38.2,14.6
Massachusetts,MA,13.3,41.2,14.7
Michigan,MI,14.3,27.4,21.2
Minnesota,MN,6.7,34.3,16.3
Mississippi,MS,6.5,21.1,23
Missouri,MO,8.8,27.5,20.6
Montana,MT,9.9,29.3,19.9
Nebraska,NE,5.5,29.5,17.3
Nevada,NV,8.8,23.1,17
New Hampshire,NH,8.9,35,17.5
New Jersey,NJ,12.2,37.4,15.1
New Mexico,NM,11.5,26.4,19.2
New York,NY,13.3,34.5,14.4
North Carolina,NC,12.2,28.7,19.1
North Dakota,ND,4.5,27.4,19.9
Ohio,OH,7.7,26.6,21
Oklahoma,OK,7.5,24.2,21.1
Oregon,OR,8.8,30.8,17
Pennsylvania,PA,8.3,29,19.9
Rhode Island,RI,11.6,30.4,16.3
South Carolina,SC,5.5,26.3,21.5
South Dakota,SD,7.7,27.8,18.6
Tennessee,TN,6.5,25.3,24.2
Texas,TX,15.8,27.8,14.5
Utah,UT,12.2,31.1,9.7
Vermont,VT,11.6,34.9,16.4
Virginia,VA,8.8,36.7,19.5
Washington,WA,9.3,33.1,15.3
West Virginia,WV,12.2,19.2,26.7
Wisconsin,WI,11.4,28.4,17.4
Wyoming,WY,6.7,26.6,19.5